,x,Output
0,0.461733267,11.1480223485609
1,0.945517277,60.43387969698152
2,0.740944694,22.008534528410664
3,0.931968863,61.40177146485722
4,0.518748497,5.215731263299389
5,0.678287703,8.286798301164808
6,0.332988909,21.742799439604738
7,0.349766788,21.009331115987216
8,0.023271584,10.90325318459487
9,0.792407216,36.73111382503622
10,0.996262645,50.124979236889985
11,0.598667896,1.475384541180219
12,0.38836264,18.45478693793467
13,0.770719244,30.354366481059614
14,0.002294982,9.445044005645833
15,0.986510207,52.84712056352792
16,0.50276751,6.747639055436352
17,0.385599274,18.675222488129577
18,0.714182891,15.363314011096108
19,0.598394523,1.4726265230493567
20,0.311859309,22.329602035581324
21,0.160323699,18.2615764186002
22,0.044693912,12.189401617962433
23,0.826920593,46.59714479903333
24,0.196021279,20.041659416851925
25,0.873755635,57.252286556259705
26,0.797444935,38.21344319462615
27,0.187896848,19.654551280615255
28,0.31073843,22.350359110345536
29,0.735685279,20.62556071498794
30,0.566173137,1.9930551406988428
31,0.914237339,61.50101109749731
32,0.549634859,2.83732356314691
33,0.588734664,1.4563767821428968
34,0.587333554,1.4668501781908247
35,0.048046141,12.377940219022783
36,0.317209829,22.216253593551613
37,0.428168782,14.75948446768443
38,0.147926625,17.614072440318196
39,0.084279288,14.303097131603549
40,0.234098494,21.5929272008339
41,0.896414466,60.34180606502842
42,0.614654912,1.866706226910182
43,0.419212064,15.664423377213765
44,0.398679321,17.58590646657332
45,0.10511867,15.378296512141938
46,0.514187767,5.6362601688442595
47,0.882892011,58.697686730090126
48,0.314964884,22.266693155845186
49,0.218375442,21.01563844403792
50,0.194124761,19.952597617972373
51,0.97372008,55.927691895048255
52,0.620372369,2.120052618081999
53,0.123126614,16.313950885894158
54,0.993441303,50.942554945430956
55,0.739796764,21.703830477780784
56,0.574736777,1.699758922155624
57,0.709099006,14.222684885807311
58,0.589237834,1.4533941621253774
59,0.314668442,22.27304164078901
60,0.790051815,36.03651964580341
61,0.954624864,59.34193118441827
62,0.00510625,9.655259918034323
63,0.755138649,25.8934561692614
64,0.662568203,5.9545260887936
